date,region,indicator,frequency,value
2019,Africa other,Liquids Production,Quarterly,0.116852
2019,Eurasia,Demand,Quarterly,4.95542691249599
2020,Eurasia,Demand,Quarterly,4.57642452221104
2018,Russia,Liquids Production,Annual,
2019,Russia,Liquids Production,Annual,
2021,Kazakhstan,Liquids Production,Annual,
2021,Kazakhstan,Liquids Production,Quarterly,1.81488
2021,Kazakhstan,Liquids Production,Quarterly,1.845065
2021,Azerbaijan,Liquids Production,Annual,0.787041698630137
2021,Azerbaijan,Liquids Production,Annual,
2021,Azerbaijan,Liquids Production,Quarterly,0.796722
2018,other Eurasia,Demand,Annual,
2020,other Eurasia,Demand,Annual,
2015,other Eurasia,Liquids Production,Annual,0.384638369863014
2020,other Eurasia,Liquids Production,Annual,
2020,other Eurasia,Liquids Production,Quarterly,3.159108
2018,Other Europe,Demand,Annual,
2019,Other Europe,Demand,Quarterly,0.748827826746091
2018,Other Europe,Liquids Production,Annual,
2019,Other Europe,Liquids Production,Quarterly,0.122326
2021,China,Liquids Production,Quarterly,4.22651
2015,World,Balance (stock change and miscellaneous),Annual,1.05674364313984
2019,World,Balance (stock change and miscellaneous),Annual,0.0136182487055407
2016,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,31.348377101535
2019,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.302075
2016,Non-OPEC,Liquids Production,Annual,59.239252363388
2018,Non-OPEC,Liquids Production,Quarterly,61.164304
2018,Non-OPEC,Liquids Production,Quarterly,61.579104
2019,Non-OPEC,Liquids Production,Quarterly,64.434881
2021,Non-OPEC,Liquids Production,Quarterly,65.104355
2019,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,61.428904
2018,OECD,Demand,Quarterly,47.7166915500974
2021,OECD,Demand,Quarterly,42.772
2020,OECD,Oil-on-water,Quarterly,1329.4556376
2020,OECD,Oil-on-water,Quarterly,1148.4556376
2017,OECD,"Days of forward consumption in OECD, days",Annual,96.6580492821225
2018,OECD,OECD onland commercial,Quarterly,60.4807421275164
2021,OECD,OECD onland commercial,Quarterly,66.9483352493496
2017,OECD,OECD SPR,Quarterly,33.2521247644965
2021,OECD,OECD SPR,Quarterly,34.8432427279329
2021,Americas,Demand,Annual,24.3295889773015
2020,Americas,Demand,Quarterly,24.351
2021,Americas,Demand,Quarterly,23.206
2019,Americas,Liquids Production,Quarterly,25.581162
2017,Americas,OECD SPR,Quarterly,26.2643700865168
2016,US,Demand,Quarterly,
2018,US,Liquids Production,Annual,16.6854437013699
2018,Mexico,Liquids Production,Quarterly,2.070385
2020,Mexico,Liquids Production,Quarterly,1.882985
2021,Mexico,Liquids Production,Quarterly,1.943833
2019,Europe,Liquids Production,Quarterly,3.574577
2018,Europe,OECD onland commercial,Annual,65.244258934061
2020,Europe,OECD onland commercial,Quarterly,85.3286724151324
2017,Norway,Liquids Production,Annual,1.9691096739726
2019,UK,Liquids Production,Annual,1.14647174246575
2020,UK,Liquids Production,Quarterly,0.960229
2019,Other OECD Europe,Liquids Production,Quarterly,0.715976
2019,Asia Pacific,Demand,Quarterly,8.49592612486164
2018,Asia Pacific,Liquids Production,Quarterly,0.42083
2020,Asia Pacific,OECD onland commercial,Annual,51.5806678904075
2017,Asia Pacific,OECD SPR,Quarterly,48.8418196513105
2020,Other Asia Pacific,Liquids Production,Quarterly,0.071543
2018,Non-OECD,Demand,Quarterly,32.8628760588449
2019,Non-OECD,Demand,Quarterly,32.8386206562417
2021,Brunei,Liquids Production,Quarterly,0.100076
2020,Indonesia,Liquids Production,Quarterly,0.865508
2020,Malaysia,Liquids Production,Annual,0.622515038251366
2019,Malaysia,Liquids Production,Quarterly,0.723396
2020,Thailand,Liquids Production,Annual,0.463492672131148
2019,Thailand,Liquids Production,Quarterly,0.534185
2015,Vietnam,Liquids Production,Annual,0.343446539726027
2017,Vietnam,Liquids Production,Annual,0.302029775342466
2019,Vietnam,Liquids Production,Quarterly,0.238693
2021,Latin America,Demand,Annual,
2019,Argentina,Liquids Production,Quarterly,0.638726
2020,Argentina,Liquids Production,Quarterly,0.653095
2021,Colombia,Liquids Production,Quarterly,0.765909
2015,Ecuador,Liquids Production,Annual,
2018,Trinidad & Tobago,Liquids Production,Quarterly,0.087989
2018,Latin America others,Liquids Production,Quarterly,0.274348
2020,Middle East,Demand,Quarterly,7.64895994456242
2016,Middle East,Liquids Production,Annual,3.26361652459016
2020,Middle East,Liquids Production,Quarterly,3.188263
2020,Oman,Liquids Production,Quarterly,0.998728
2019,Qatar,Liquids Production,Quarterly,1.94965
2020,Syria,Liquids Production,Quarterly,0.028387
2015,Chad,Liquids Production,Annual,0.128950520547945
2021,Chad,Liquids Production,Quarterly,0.097077
2016,Egypt,Liquids Production,Quarterly,
2019,Ghana,Liquids Production,Quarterly,0.2156
2019,Sudans,Liquids Production,Quarterly,0.234315
2019,Eurasia,Liquids Production,Quarterly,14.552479
2016,Russia,Demand,Annual,
2018,other Eurasia,Liquids Production,Annual,3.08098643013699
2019,other Eurasia,Liquids Production,Quarterly,0.302998
2020,other Eurasia,Liquids Production,Quarterly,2.734745
2021,other Eurasia,Liquids Production,Quarterly,2.979472
2018,Other Europe,Demand,Annual,0.742675427299823
2015,China,Demand,Quarterly,
2019,China,Liquids Production,Quarterly,4.033609
2021,World,Demand,Annual,96.5781203884106
2019,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,29.3236877512945
2019,World,Oil-on-water,Annual,
2015,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,
2015,OPEC,OPEC NGL,Quarterly,
2019,OPEC,OPEC Non-conventional,Annual,0.0949150684931507
2020,OPEC,OPEC Non-conventional,Quarterly,0.106
2019,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,
2017,Non-OPEC,Processing gains,Annual,2.218
2019,OECD,Liquids Production,Quarterly,29.345563
2019,OECD,Liquids Production,Quarterly,29.667163
2021,OECD,Liquids Production,Quarterly,28.5704
2021,OECD,Liquids Production,Quarterly,28.930755
2019,OECD,SPR,Quarterly,33.0228951004129
2020,OECD,"Days of forward consumption in OECD, days",Quarterly,120.093958838095
2017,OECD,"Closing stock levels, mb",Annual,4608.244
2020,OECD,"Closing stock levels, mb",Quarterly,4510.609
2021,Americas,Liquids Production,Quarterly,24.114662
2017,Americas,OECD onland commercial,Annual,63.6498539547636
2019,Americas,OECD onland commercial,Quarterly,59.9111034244206
2021,US,Demand,Quarterly,19.9569766233145
2020,US,Liquids Production,Annual,17.6230741885246
2019,US,Liquids Production,Quarterly,17.765595
2021,Canada,Liquids Production,Quarterly,5.543435
2021,Canada,Liquids Production,Quarterly,5.499636
2019,Chile,Liquids Production,Annual,0.0113451643835616
2021,Chile,Liquids Production,Annual,0.011075602739726
2020,Mexico,Liquids Production,Annual,1.91511174863388
2020,Mexico,Liquids Production,Quarterly,1.888907
2018,Europe,Liquids Production,Annual,3.84200659452055
2020,Europe,Liquids Production,Annual,3.90252726502732
2018,Europe,Liquids Production,Quarterly,3.88817
2018,Europe,OECD onland commercial,Quarterly,66.3021464736504
2021,Norway,Liquids Production,Quarterly,2.210478
2019,UK,Liquids Production,Quarterly,1.078953
2021,Denmark,Liquids Production,Quarterly,0.070233
2018,Asia Pacific,Demand,Quarterly,7.65194921606693
2019,Asia Pacific,Liquids Production,Quarterly,0.456424
2016,Australia,Liquids Production,Annual,0.349652844262295
2021,Australia,Liquids Production,Quarterly,0.487668
2021,Other Asia Pacific,Liquids Production,Quarterly,0.06754
2019,Non-OECD,Demand,Annual,52.2729444828013
2017,Other Asia,Demand,Annual,8.69169732874592
2021,Other Asia,Liquids Production,Quarterly,2.495255
2021,Brunei,Liquids Production,Annual,0.103894882191781
2020,India,Demand,Annual,4.51004883917813
2018,India,Liquids Production,Quarterly,0.834928
2020,Indonesia,Liquids Production,Annual,0.870980032786885
2016,Thailand,Liquids Production,Annual,0.514035530054645
2016,Vietnam,Liquids Production,Annual,0.308841546448087
2018,Vietnam,Liquids Production,Annual,0.269323131506849
2018,Vietnam,Liquids Production,Quarterly,0.233093
2020,Vietnam,Liquids Production,Quarterly,0.211348
2019,Asia others,Liquids Production,Annual,0.225845260273973
2018,Latin America,Liquids Production,Annual,5.79176741643836
2019,Guyana,Liquids Production,Annual,0.00305742465753425
2020,Guyana,Liquids Production,Annual,0.0736573224043716
2018,Trinidad & Tobago,Liquids Production,Quarterly,0.081989
2020,Latin America others,Liquids Production,Quarterly,0.422871
2016,Qatar,Liquids Production,Quarterly,
2018,Syria,Liquids Production,Quarterly,0.024
2021,Yemen,Liquids Production,Quarterly,0.059005
2020,Africa,Demand,Annual,4.08309549899203
2019,Africa,Liquids Production,Quarterly,1.536978
2019,Cameroon,Liquids Production,Annual,0.0715260273972603
2016,Cameroon,Liquids Production,Quarterly,
2018,Egypt,Liquids Production,Annual,0.672262882191781
2020,South Africa,Liquids Production,Quarterly,0.134214
2018,Africa other,Liquids Production,Annual,0.124019345205479
2018,Eurasia,Demand,Annual,
2020,Eurasia,Demand,Quarterly,5.34945687116786
2021,Eurasia,Demand,Quarterly,5.17346717757118
2016,Russia,Liquids Production,Annual,11.0832567568306
2021,Kazakhstan,Liquids Production,Quarterly,1.834695
2017,other Eurasia,Liquids Production,Annual,3.00898951780822
2018,Other Europe,Liquids Production,Quarterly,0.119863
2020,Other Europe,Liquids Production,Quarterly,0.117108
2015,China,Liquids Production,Annual,4.39583845205479
2021,World,Demand,Quarterly,98.1752769038323
2020,World,Liquids Production,Annual,93.5814135136612
2015,World,Liquids Production,Quarterly,
2019,World,Liquids Production,Quarterly,99.185047
2020,World,Liquids Production,Quarterly,100.179112
2016,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,
2019,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,69.582756
2019,World,Balance (stock change and miscellaneous),Quarterly,0.0475578161163384
2017,World,Oil-on-water,Annual,1102.4556376
2019,OPEC,OPEC Non-conventional,Quarterly,0.108
2019,OPEC,OPEC Non-conventional,Quarterly,0.106
2019,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,28.861453
2019,Non-OPEC,Liquids Production,Quarterly,64.374681
2015,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,57.3637128219178
2018,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,61.0868894493151
2016,OECD,Liquids Production,Annual,24.8637948989071
2016,OECD,Commercial,Quarterly,
2021,OECD,Commercial,Quarterly,
2020,OECD,Oil-on-water,Annual,
2018,OECD,Oil-on-water,Quarterly,1036.4556376
2017,OECD,Commercial onland stocks,Annual,
2021,OECD,Commercial onland stocks,Quarterly,
2016,OECD,"Closing stock levels, mb",Annual,4608.244
2019,OECD,"Closing stock levels, mb",Quarterly,4481.243
2018,OECD,OECD SPR,Annual,
2015,Americas,Demand,Quarterly,
2021,Americas,Demand,Quarterly,24.5804850024812
2020,Americas,Liquids Production,Quarterly,24.098217
2020,Americas,OECD onland commercial,Annual,
2015,Americas,OECD SPR,Annual,
2019,Americas,OECD SPR,Quarterly,25.0500367917586
2020,Americas,OECD SPR,Quarterly,31.8355657736905
2018,US,Liquids Production,Annual,
2017,Chile,Liquids Production,Annual,
2020,Mexico,Liquids Production,Quarterly,1.921592
2019,Europe,Demand,Annual,14.2503726027397
2017,Europe,OECD onland commercial,Annual,69.0357731853542
2020,Europe,OECD onland commercial,Annual,80.2798273232649
2019,Europe,OECD onland commercial,Quarterly,69.637323943662
2020,Europe,OECD onland commercial,Quarterly,93.7419384140249
2015,UK,Liquids Production,Annual,0.98597254520548
2021,Denmark,Liquids Production,Annual,0.0700254767123288
2018,Asia Pacific,Demand,Annual,
2020,Asia Pacific,Demand,Quarterly,7.752
2020,Asia Pacific,Demand,Quarterly,7.294
2016,Asia Pacific,Liquids Production,Annual,0.42529212295082
2019,Asia Pacific,OECD SPR,Annual,59.6892650040074
2020,Non-OECD,Demand,Annual,48.5609480313145
2018,Other Asia,Demand,Annual,8.90668855400588
2020,Other Asia,Demand,Quarterly,8.29556256071099
2020,Other Asia,Demand,Quarterly,8.33135280852558
2019,Other Asia,Liquids Production,Annual,
2015,Brunei,Liquids Production,Annual,0.126832821917808
2021,Brunei,Liquids Production,Quarterly,0.100328
2018,India,Demand,Annual,
2019,India,Demand,Annual,4.9127069554417
2020,India,Demand,Quarterly,3.81224899927569
2020,India,Liquids Production,Quarterly,0.758074
2018,Malaysia,Liquids Production,Annual,
2019,Malaysia,Liquids Production,Quarterly,0.703502
2021,Thailand,Liquids Production,Quarterly,0.478038
2021,Thailand,Liquids Production,Quarterly,0.471427
2018,Latin America,Demand,Annual,6.52685924338682
2020,Latin America,Demand,Annual,
2021,Latin America,Liquids Production,Annual,6.2254152520548
2019,Brazil,Liquids Production,Annual,
2016,Colombia,Liquids Production,Quarterly,
2017,Trinidad & Tobago,Liquids Production,Annual,0.0987234246575343
2017,Trinidad & Tobago,Liquids Production,Annual,
2020,Trinidad & Tobago,Liquids Production,Quarterly,0.09432
2015,Latin America others,Liquids Production,Quarterly,
2015,Bahrain,Liquids Production,Annual,0.223569863013699
2019,Oman,Liquids Production,Annual,0.970824635616438
2018,Oman,Liquids Production,Quarterly,0.98013
2015,Qatar,Liquids Production,Quarterly,
2019,Qatar,Liquids Production,Quarterly,1.985777
2020,Qatar,Liquids Production,Quarterly,1.934896
2020,Yemen,Liquids Production,Quarterly,0.053189
2020,Africa,Demand,Quarterly,3.76063428730487
2021,Africa,Demand,Quarterly,4.16029273317217
2019,Africa,Liquids Production,Annual,1.50709365479452
2020,Africa,Liquids Production,Annual,1.41509886338798
2019,Africa,Liquids Production,Quarterly,1.563378
2021,Chad,Liquids Production,Quarterly,0.115486
2019,Ghana,Liquids Production,Annual,
2019,Ghana,Liquids Production,Quarterly,0.2252
2015,South Africa,Liquids Production,Annual,0.123
2020,South Africa,Liquids Production,Annual,0.0930601147540984
2021,South Africa,Liquids Production,Annual,
2021,Sudans,Liquids Production,Annual,
2015,Kazakhstan,Liquids Production,Annual,1.59627952328767
2020,Azerbaijan,Liquids Production,Quarterly,0.715314
2019,other Eurasia,Demand,Annual,
2018,Other Europe,Demand,Quarterly,0.728994700192042
2018,Other Europe,Liquids Production,Quarterly,0.123063
2018,China,Demand,Quarterly,12.281063761819
2021,China,Demand,Quarterly,15.0485948385467
2017,World,Demand,Quarterly,
2018,World,Demand,Quarterly,98.0838315713657
2020,World,Liquids Production,Annual,
2021,World,Liquids Production,Quarterly,
2021,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,69.520076
2017,World,Balance (stock change and miscellaneous),Quarterly,
2015,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,30.1836903568602
2018,OPEC,OPEC NGL,Quarterly,4.712032
2020,OPEC,OPEC NGL,Quarterly,5.242075
2020,OPEC,OPEC NGL,Quarterly,4.909314
2019,Non-OPEC,Liquids Production,Quarterly,64.852281
2021,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,
2021,OECD,Liquids Production,Annual,29.5542250876712
2018,OECD,"OECD closing stock levels, mb",Annual,
2018,OECD,Commercial,Quarterly,2815.03
2018,OECD,Commercial,Quarterly,2867.182
2021,OECD,SPR,Quarterly,34.686783776519
2017,OECD,"Days of forward consumption in OECD, days",Annual,
2020,OECD,"Days of forward consumption in OECD, days",Annual,
2018,OECD,"Days of forward consumption in OECD, days",Quarterly,92.5811775014604
2018,OECD,OECD onland commercial,Annual,
2018,OECD,OECD onland commercial,Quarterly,58.1437661398616
2017,OECD,OECD SPR,Annual,33.5799928684903
2017,OECD,OECD SPR,Annual,
2019,OECD,OECD SPR,Annual,
2017,Americas,Demand,Quarterly,
2016,Americas,Liquids Production,Annual,20.5852974180328
2018,Americas,Liquids Production,Annual,24.0496327232877
2021,Americas,Liquids Production,Quarterly,26.028293
2018,Americas,OECD onland commercial,Annual,60.1715510529705
2019,Americas,OECD onland commercial,Quarterly,59.0692972124068
2019,Americas,OECD SPR,Annual,29.5841222072929
2020,Americas,OECD SPR,Quarterly,28.9660606594181
2019,US,Liquids Production,Quarterly,19.147141
2021,US,Liquids Production,Quarterly,18.463287
2017,Chile,Liquids Production,Annual,0.00600551232876712
2021,Chile,Liquids Production,Annual,
2016,Mexico,Liquids Production,Quarterly,
2019,Europe,Demand,Quarterly,14.7509589461947
2017,Norway,Liquids Production,Annual,
2018,Norway,Liquids Production,Annual,1.85152347945205
2017,UK,Liquids Production,Annual,
2020,UK,Liquids Production,Annual,
2021,Denmark,Liquids Production,Annual,
2019,Denmark,Liquids Production,Quarterly,0.119641
2020,Denmark,Liquids Production,Quarterly,0.088692
2019,Other OECD Europe,Liquids Production,Quarterly,0.714976
2017,Asia Pacific,Demand,Annual,
2020,Asia Pacific,Liquids Production,Annual,
2021,Asia Pacific,Liquids Production,Quarterly,0.554195
2017,Asia Pacific,OECD onland commercial,Quarterly,47.7095023669322
2015,Asia Pacific,OECD SPR,Annual,
2017,Asia Pacific,OECD SPR,Quarterly,53.6978545131395
2020,Australia,Liquids Production,Annual,0.462925639344262
2020,Australia,Liquids Production,Annual,
2017,Non-OECD,Demand,Annual,49.9945378812367
2019,Non-OECD,Demand,Annual,
2021,Non-OECD,Liquids Production,Annual,31.9729626493151
2018,Non-OECD,Liquids Production,Quarterly,13.446235
2021,Non-OECD,Liquids Production,Quarterly,32.226887
2018,Other Asia,Demand,Annual,
2017,Other Asia,Liquids Production,Annual,2.8027546630137
2019,Brunei,Liquids Production,Quarterly,0.11357
2019,India,Liquids Production,Annual,
2017,India,Liquids Production,Quarterly,
2018,Thailand,Liquids Production,Annual,0.517309769863014
2020,Thailand,Liquids Production,Annual,
2021,Thailand,Liquids Production,Annual,
2017,Thailand,Liquids Production,Quarterly,
2020,Thailand,Liquids Production,Quarterly,0.470645
2020,Vietnam,Liquids Production,Annual,0.221255628415301
2020,Vietnam,Liquids Production,Annual,
2020,Asia others,Liquids Production,Annual,
2018,Asia others,Liquids Production,Quarterly,0.221039
2019,Asia others,Liquids Production,Quarterly,0.239039
2021,Asia others,Liquids Production,Quarterly,0.213447
2021,Asia others,Liquids Production,Quarterly,0.22963
2020,Latin America,Liquids Production,Quarterly,6.352224
2020,Latin America,Liquids Production,Quarterly,5.828894
2021,Brazil,Liquids Production,Quarterly,3.856117
2021,Colombia,Liquids Production,Annual,
2018,Ecuador,Liquids Production,Annual,
2019,Ecuador,Liquids Production,Annual,0.539177868493151
2021,Guyana,Liquids Production,Annual,
2019,Middle East,Demand,Annual,
2019,Middle East,Demand,Quarterly,
2021,Middle East,Demand,Quarterly,7.97194115021014
2017,Middle East,Liquids Production,Annual,
2020,Middle East,Liquids Production,Annual,
2018,Bahrain,Liquids Production,Quarterly,0.217685
2019,Bahrain,Liquids Production,Quarterly,0.212685
2021,Qatar,Liquids Production,Annual,1.96009720273973
2017,Syria,Liquids Production,Annual,0.0277479452054795
2020,Yemen,Liquids Production,Quarterly,0.049746
2018,Africa,Demand,Annual,4.33478286211743
2021,Africa,Demand,Annual,
2016,Africa,Demand,Quarterly,
2021,Africa,Demand,Quarterly,4.47707007891655
2018,Africa,Liquids Production,Quarterly,1.490578
2021,Africa,Liquids Production,Quarterly,1.379625
2020,Cameroon,Liquids Production,Quarterly,0.064211
2015,Egypt,Liquids Production,Annual,0.719356090410959
2018,Ghana,Liquids Production,Quarterly,0.212
2021,Ghana,Liquids Production,Quarterly,0.18234
2019,South Africa,Liquids Production,Quarterly,0.1192
2020,South Africa,Liquids Production,Quarterly,0.117984
2019,Africa other,Liquids Production,Quarterly,0.128485
2020,Africa other,Liquids Production,Quarterly,0.136434
2015,Eurasia,Liquids Production,Annual,13.6872823287671
2019,Russia,Demand,Quarterly,
2015,Russia,Liquids Production,Annual,10.8462547616438
2018,Russia,Liquids Production,Quarterly,11.608652
2018,Kazakhstan,Liquids Production,Annual,
2021,other Eurasia,Demand,Annual,
2020,other Eurasia,Demand,Quarterly,1.068
2019,other Eurasia,Liquids Production,Quarterly,0.321663
2015,Other Europe,Liquids Production,Annual,0.141558701369863
2018,Other Europe,Liquids Production,Quarterly,0.120463
2019,China,Demand,Quarterly,13.5195470536257
2021,World,Liquids Production,Annual,
2019,World,Liquids Production,Quarterly,99.54108
2020,World,Liquids Production,Quarterly,90.340034
2018,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,65.823336
2019,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,29.1698911427388
2018,World,Oil-on-water,Annual,
2016,World,Oil-on-water,Quarterly,
2018,World,Oil-on-water,Quarterly,1058.4556376
2018,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,4.812032
2021,OPEC,OPEC NGL,Quarterly,5.001314
2017,OPEC,OPEC Non-conventional,Annual,
2020,OPEC,OPEC Non-conventional,Annual,0.105989071038251
2021,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,
2015,Non-OPEC,Liquids Production,Quarterly,
2017,Non-OPEC,Liquids Production,Quarterly,
2016,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,57.045252363388
2020,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,60.8171663442623
2020,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,59.320694
2018,OECD,Demand,Quarterly,48.1922444418435
2020,OECD,"OECD closing stock levels, mb",Annual,4577.657
2020,OECD,"OECD closing stock levels, mb",Quarterly,4728.394
2019,OECD,Commercial,Quarterly,2907.662
2018,OECD,SPR,Quarterly,32.5686014041964
2021,OECD,SPR,Quarterly,
2019,OECD,Oil-on-water,Quarterly,1013.4556376
2019,OECD,Oil-on-water,Quarterly,1012.4556376
2020,OECD,"Days of forward consumption in OECD, days",Annual,103.775344440693
2019,OECD,"Days of forward consumption in OECD, days",Quarterly,97.3756904861463
2020,OECD,"Days of forward consumption in OECD, days",Quarterly,110.047105918496
2019,OECD,"Closing stock levels, mb",Annual,
2017,OECD,OECD onland commercial,Quarterly,64.396910721115
2020,OECD,OECD onland commercial,Quarterly,71.0222211826347
2019,OECD,OECD SPR,Quarterly,33.0731810939989
2019,Americas,Demand,Annual,
2020,Americas,Demand,Annual,
2015,Americas,Liquids Production,Annual,21.0816983863014
2020,Americas,Liquids Production,Annual,
2021,Americas,Liquids Production,Annual,
2018,Americas,OECD onland commercial,Quarterly,61.0266466355657
2020,Americas,OECD onland commercial,Quarterly,69.5016805998449
2017,Americas,OECD SPR,Quarterly,26.6513746992229
2019,Americas,OECD SPR,Quarterly,26.1576937292103
2017,US,Demand,Annual,
2019,US,Demand,Annual,
2020,US,Demand,Annual,
2017,US,Liquids Production,Annual,
2020,Canada,Liquids Production,Annual,
2020,Chile,Liquids Production,Annual,
2021,Chile,Liquids Production,Quarterly,0.010936
2018,Mexico,Liquids Production,Annual,2.07656982465753
2018,Europe,Demand,Quarterly,14.713
2015,Europe,Liquids Production,Annual,3.81542469041096
2017,Europe,Liquids Production,Annual,
2021,Europe,Liquids Production,Annual,
2018,Europe,OECD onland commercial,Quarterly,65.8905841633114
2019,Europe,OECD SPR,Quarterly,34.2009369011285
2021,Europe,OECD SPR,Quarterly,
2016,UK,Liquids Production,Annual,1.04008184426229
2019,UK,Liquids Production,Quarterly,1.135953
2017,Denmark,Liquids Production,Annual,0.143065556164384
2019,Denmark,Liquids Production,Annual,
2017,Denmark,Liquids Production,Quarterly,
2020,Other OECD Europe,Liquids Production,Annual,0.754008183060109
2017,Other OECD Europe,Liquids Production,Quarterly,
2019,Asia Pacific,Demand,Annual,
2018,Asia Pacific,Liquids Production,Annual,
2019,Asia Pacific,Liquids Production,Annual,
2017,Asia Pacific,OECD onland commercial,Quarterly,51.571598619212
2020,Asia Pacific,OECD SPR,Annual,57.2667118780108
2018,Asia Pacific,OECD SPR,Quarterly,55.2593950504125
2018,Asia Pacific,OECD SPR,Quarterly,55.2521602513747
2021,Australia,Liquids Production,Quarterly,0.487683
2021,Other Asia Pacific,Liquids Production,Annual,
2016,Other Asia Pacific,Liquids Production,Quarterly,
2021,Other Asia Pacific,Liquids Production,Quarterly,0.065498
2017,Other Asia,Demand,Quarterly,
2018,Other Asia,Liquids Production,Annual,
2017,Brunei,Liquids Production,Annual,
2018,Brunei,Liquids Production,Quarterly,0.108146
2020,Brunei,Liquids Production,Quarterly,0.118222
2015,India,Liquids Production,Annual,0.867553917808219
2020,India,Liquids Production,Annual,
2019,India,Liquids Production,Quarterly,0.806961
2020,India,Liquids Production,Quarterly,0.787229
2021,India,Liquids Production,Quarterly,0.744018
2015,Indonesia,Liquids Production,Quarterly,
2019,Indonesia,Liquids Production,Quarterly,0.858441
2018,Thailand,Liquids Production,Annual,
2019,Vietnam,Liquids Production,Quarterly,0.219693
2016,Latin America,Liquids Production,Annual,5.6341293442623
2019,Argentina,Liquids Production,Annual,
2021,Argentina,Liquids Production,Annual,
2017,Argentina,Liquids Production,Quarterly,
2018,Brazil,Liquids Production,Annual,
2021,Brazil,Liquids Production,Annual,
2015,Colombia,Liquids Production,Annual,1.03159992054795
2016,Colombia,Liquids Production,Annual,0.908251333333333
2021,Colombia,Liquids Production,Annual,0.779648917808219
2019,Colombia,Liquids Production,Quarterly,0.919183
2020,Ecuador,Liquids Production,Quarterly,0.389043
2017,Guyana,Liquids Production,Annual,0.0
2020,Guyana,Liquids Production,Annual,
2018,Guyana,Liquids Production,Quarterly,
2020,Guyana,Liquids Production,Quarterly,0.06313
2015,Trinidad & Tobago,Liquids Production,Annual,0.108438416438356
2019,Trinidad & Tobago,Liquids Production,Annual,0.0808521095890411
2019,Trinidad & Tobago,Liquids Production,Annual,
2019,Latin America others,Liquids Production,Annual,0.369668835616438
2020,Latin America others,Liquids Production,Annual,
2020,Latin America others,Liquids Production,Quarterly,0.335219
2017,Middle East,Demand,Annual,8.23116543707659
2017,Middle East,Demand,Annual,
2020,Middle East,Demand,Annual,7.54548476371968
2020,Middle East,Demand,Annual,
2018,Middle East,Liquids Production,Annual,
2019,Middle East,Liquids Production,Annual,
2019,Middle East,Liquids Production,Quarterly,3.214192
2017,Bahrain,Liquids Production,Annual,
2020,Bahrain,Liquids Production,Annual,
2021,Bahrain,Liquids Production,Annual,
2016,Oman,Liquids Production,Annual,1.00418060382514
2018,Oman,Liquids Production,Annual,
2019,Oman,Liquids Production,Quarterly,0.971409
2020,Oman,Liquids Production,Quarterly,0.9079
2021,Qatar,Liquids Production,Quarterly,1.960272
2020,Africa,Liquids Production,Annual,
2021,Africa,Liquids Production,Annual,
2017,Cameroon,Liquids Production,Annual,0.0756275068493151
2021,Cameroon,Liquids Production,Annual,0.0595369068493151
2017,Chad,Liquids Production,Annual,
2020,Chad,Liquids Production,Quarterly,0.101258
2020,Egypt,Liquids Production,Annual,
2021,Egypt,Liquids Production,Quarterly,0.581411
2018,Sudans,Liquids Production,Annual,
2016,Africa other,Liquids Production,Annual,0.131007103825137
2019,Africa other,Liquids Production,Annual,
2021,Africa other,Liquids Production,Annual,
2021,Eurasia,Demand,Quarterly,5.1384855219633
2016,Eurasia,Liquids Production,Annual,13.8516914972678
2017,Eurasia,Liquids Production,Quarterly,
2019,Russia,Liquids Production,Quarterly,11.379852
2020,Kazakhstan,Liquids Production,Annual,
2019,Kazakhstan,Liquids Production,Quarterly,1.814669
2019,Kazakhstan,Liquids Production,Quarterly,1.873269
2017,Azerbaijan,Liquids Production,Quarterly,
2017,other Eurasia,Demand,Annual,
2019,other Eurasia,Liquids Production,Annual,
2015,other Eurasia,Liquids Production,Quarterly,
2021,Other Europe,Demand,Annual,
2017,Other Europe,Demand,Quarterly,
2016,Other Europe,Liquids Production,Quarterly,
2018,China,Liquids Production,Quarterly,4.010146
2018,China,Liquids Production,Quarterly,4.033346
2017,World,Demand,Annual,97.6702776072641
2017,World,Demand,Annual,
2019,World,Demand,Quarterly,98.7526471427388
2019,World,Demand,Quarterly,98.5611808721526
